pdf, link,size,txt,link,size
1880.pdf,https://spacetime-nypl-org.s3.amazonaws.com/city-directories/pdfs/1880.pdf,941M,1880.txt,https://spacetime-nypl-org.s3.amazonaws.com/city-directories/pdfs/1880.txt, 16M
1881.pdf,https://spacetime-nypl-org.s3.amazonaws.com/city-directories/pdfs/1881.pdf,855M,1881.txt,https://spacetime-nypl-org.s3.amazonaws.com/city-directories/pdfs/1881.txt, 19M
1882.pdf,https://spacetime-nypl-org.s3.amazonaws.com/city-directories/pdfs/1882.pdf,921M,1882.txt,https://spacetime-nypl-org.s3.amazonaws.com/city-directories/pdfs/1882.txt, 16M
1883-1884.pdf,https://spacetime-nypl-org.s3.amazonaws.com/city-directories/pdfs/1883-1884.pdf,894M,1883-1884.txt,https://spacetime-nypl-org.s3.amazonaws.com/city-directories/pdfs/1883-1884.txt, 18M
1884-1885.pdf,https://spacetime-nypl-org.s3.amazonaws.com/city-directories/pdfs/1884-1885.pdf,1.2G,1884-1885.txt,https://spacetime-nypl-org.s3.amazonaws.com/city-directories/pdfs/1884-1885.txt, 20M
1885-1886.pdf,https://spacetime-nypl-org.s3.amazonaws.com/city-directories/pdfs/1885-1886.pdf,1.9G,1885-1886.txt,https://spacetime-nypl-org.s3.amazonaws.com/city-directories/pdfs/1885-1886.txt, 22M
1886-1887.pdf,https://spacetime-nypl-org.s3.amazonaws.com/city-directories/pdfs/1886-1887.pdf,1.4G,1886-1887.txt,https://spacetime-nypl-org.s3.amazonaws.com/city-directories/pdfs/1886-1887.txt, 22M
1887-1888.pdf,https://spacetime-nypl-org.s3.amazonaws.com/city-directories/pdfs/1887-1888.pdf,849M,1887-1888.txt,https://spacetime-nypl-org.s3.amazonaws.com/city-directories/pdfs/1887-1888.txt, 20M
1889.pdf,https://spacetime-nypl-org.s3.amazonaws.com/city-directories/pdfs/1889.pdf,1.4G,1889.txt,https://spacetime-nypl-org.s3.amazonaws.com/city-directories/pdfs/1889.txt, 21M
1890-1891.pdf,https://spacetime-nypl-org.s3.amazonaws.com/city-directories/pdfs/1890-1891.pdf,807M,1890-1891.txt,https://spacetime-nypl-org.s3.amazonaws.com/city-directories/pdfs/1890-1891.txt, 25M
1890.pdf,https://spacetime-nypl-org.s3.amazonaws.com/city-directories/pdfs/1890.pdf,1.4G,1890.txt,https://spacetime-nypl-org.s3.amazonaws.com/city-directories/pdfs/1890.txt, 22M
1891-1892.pdf,https://spacetime-nypl-org.s3.amazonaws.com/city-directories/pdfs/1891-1892.pdf,713M,1891-1892.txt,https://spacetime-nypl-org.s3.amazonaws.com/city-directories/pdfs/1891-1892.txt, 24M
1892-1893.pdf,https://spacetime-nypl-org.s3.amazonaws.com/city-directories/pdfs/1892-1893.pdf,1.4G,1892-1893.txt,https://spacetime-nypl-org.s3.amazonaws.com/city-directories/pdfs/1892-1893.txt, 26M
1893-1894.pdf,https://spacetime-nypl-org.s3.amazonaws.com/city-directories/pdfs/1893-1894.pdf,860M,1893-1894.txt,https://spacetime-nypl-org.s3.amazonaws.com/city-directories/pdfs/1893-1894.txt, 26M
1894-1895.pdf,https://spacetime-nypl-org.s3.amazonaws.com/city-directories/pdfs/1894-1895.pdf,962M,1894-1895.txt,https://spacetime-nypl-org.s3.amazonaws.com/city-directories/pdfs/1894-1895.txt, 26M
1895-1896.pdf,https://spacetime-nypl-org.s3.amazonaws.com/city-directories/pdfs/1895-1896.pdf,845M,1895-1896.txt,https://spacetime-nypl-org.s3.amazonaws.com/city-directories/pdfs/1895-1896.txt, 27M
1896-1897.pdf,https://spacetime-nypl-org.s3.amazonaws.com/city-directories/pdfs/1896-1897.pdf,736M,1896-1897.txt,https://spacetime-nypl-org.s3.amazonaws.com/city-directories/pdfs/1896-1897.txt, 28M
1897-1899.pdf,https://spacetime-nypl-org.s3.amazonaws.com/city-directories/pdfs/1897-1899.pdf,1.7G,1897-1899.txt,https://spacetime-nypl-org.s3.amazonaws.com/city-directories/pdfs/1897-1899.txt, 53M
1899-1900.pdf,https://spacetime-nypl-org.s3.amazonaws.com/city-directories/pdfs/1899-1900.pdf,1013M,1899-1900.txt,https://spacetime-nypl-org.s3.amazonaws.com/city-directories/pdfs/1899-1900.txt, 32M
1900-1901.pdf,https://spacetime-nypl-org.s3.amazonaws.com/city-directories/pdfs/1900-1901.pdf,1.1G,1900-1901.txt,https://spacetime-nypl-org.s3.amazonaws.com/city-directories/pdfs/1900-1901.txt, 26M
1901-1902.pdf,https://spacetime-nypl-org.s3.amazonaws.com/city-directories/pdfs/1901-1902.pdf,820M,1901-1902.txt,https://spacetime-nypl-org.s3.amazonaws.com/city-directories/pdfs/1901-1902.txt, 25M
1902-1903.pdf,https://spacetime-nypl-org.s3.amazonaws.com/city-directories/pdfs/1902-1903.pdf,1.4G,1902-1903.txt,https://spacetime-nypl-org.s3.amazonaws.com/city-directories/pdfs/1902-1903.txt, 29M
1903-1904.pdf,https://spacetime-nypl-org.s3.amazonaws.com/city-directories/pdfs/1903-1904.pdf,814M,1903-1904.txt,https://spacetime-nypl-org.s3.amazonaws.com/city-directories/pdfs/1903-1904.txt, 26M
1904-1905.pdf,https://spacetime-nypl-org.s3.amazonaws.com/city-directories/pdfs/1904-1905.pdf,1.1G,1904-1905.txt,https://spacetime-nypl-org.s3.amazonaws.com/city-directories/pdfs/1904-1905.txt, 31M
1905-1906.pdf,https://spacetime-nypl-org.s3.amazonaws.com/city-directories/pdfs/1905-1906.pdf,2.3G,1905-1906.txt,https://spacetime-nypl-org.s3.amazonaws.com/city-directories/pdfs/1905-1906.txt, 28M
1906-1907.pdf,https://spacetime-nypl-org.s3.amazonaws.com/city-directories/pdfs/1906-1907.pdf,1.2G,1906-1907.txt,https://spacetime-nypl-org.s3.amazonaws.com/city-directories/pdfs/1906-1907.txt, 40M
1907-1908.pdf,https://spacetime-nypl-org.s3.amazonaws.com/city-directories/pdfs/1907-1908.pdf,984M,1907-1908.txt,https://spacetime-nypl-org.s3.amazonaws.com/city-directories/pdfs/1907-1908.txt, 35M
1908-1909.pdf,https://spacetime-nypl-org.s3.amazonaws.com/city-directories/pdfs/1908-1909.pdf,1.3G,1908-1909.txt,https://spacetime-nypl-org.s3.amazonaws.com/city-directories/pdfs/1908-1909.txt, 32M
